Document Title,Abstract,Year,PDF Link,Authors,Source,abs,label
experimental context classification incentive experience subject,need identify factor affect result empirical study software engineering research still case seemingly identical replication controlled experiment result different conclusion due fact factor describing experiment context clearly defined hence controlled article scheme describing participant controlled experiment proposed evaluated consists two main factor incentive participant experiment experience participant scheme evaluated classifying set previously conducted experiment literature concluded scheme easy use understand also found experiment classified way large extent point result indicates scheme address relevant factor,2005,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1553590,"Martin H?st, Claes Wohlin, Thomas Thelin","ICSE '05: Proceedings of the 27th international conference on Software engineering, May 2005, Publisher: ACM",1,1
measurement programme evolve software organization,establishing software measurement programme within organization straightforward task previous literature survey focused software process improvement general software measurement analysed case study literature survey collect data separate case present critical success factor specific software measurement programme present categorization success factor based organizational role involved measurement furthermore essential element success different phase life cycle measurement programme analysed seems role upper management crucial starting measurement individual developer impact increase later phase utilization measurement data improvement measurement development process requires active management support,2008,http://dl.acm.org/citation.cfm?id=1425920&CFID=932207713&CFTOKEN=72281918,"Lasse Harjumaa, Jouni Markkula and Markku Oivo","Book Series Lecture Notes in Computer Science, Volume 5089/2008, Book Product-Focused Software Process Improvement, Pages 230-243, SpringerLink Date Tuesday, June 17, 2008",1,1
improving evidence software technology look model based testing,model based testing mbt approach help automatically generate test case using model extracted software artifact hold promise greatly affect build software review literature show certain specialized domain applying mbt yet seem mainstream approach author therefore conducted systematic review literature investigate much evidence available mbt cost benefit especially regarding technique compare common testing approach use result derive suggestion regarding type study might increase deployment technique,2008,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4497754,"By Arilo Dias Neto , Rajesh Subramanyan , Marlon Vieira , Guilherme Horta Travassos , Forrest Shul","Found in: IEEE Software l 
Issue Date:May 2008 , pp. 10-13",1,1
search architectural knowledge,software architecture community put emphasis architectural knowledge however appears commonly accepted definition architectural knowledge entail make fuzzy concept order obtain better understanding different author view architectural knowledge conducted systematic review examine architectural knowledge defined different definition use related review became clear many author provide concrete definition think architectural knowledge entail intriguing though give definition seem agree architectural knowledge span problem domain decision making solution agreement obvious definition brought light careful systematic comparison different study,2010,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5659173,"Remco C. de Boer, Rik Farenhorst","SHARK '08: Proceedings of the 3rd international workshop on Sharing and reusing architectural knowledge, May 2008 , Publisher: ACM",1,1
measurement software engineering roadmap crossroad,research software measurement organized around five key conceptual methodological issue apply measurement theory software frame software metric develop metric collect core measure analyze measure subject special concern industry interested improving practice mainly developing country software industry represents opportunity growth usually receives institutional support matching international quality standard academic also need understanding developing effective method managing software process assessing success product service result enhanced awareness emergency aligning business process information system paper unveils fundamental measurement software engineering discus current issue foreseeable trend subject literature review performed within major academic publication last decade finding suggest sensible shift measurement interest towards managing software process whole without losing sight customary focus hard issue like algorithm efficiency worker productivity,1997,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=585509,"C. G. P. Bellini, R. D. D. Pereira, and J. L. Becker.","International Journal of Software Engineering and Knowledge Engineering 18 (1):37-64, 2008.",1,1
mobile system development literature review,article review representative contribution literature mobile system development contribution categorized according simple conceptual framework framework comprises four perspective requirement perspective technology perspective application perspective business perspective literature review show mobile system development overlooked current debate review extend traditional view system development encompass mobile system based identified perspective propose core characteristic mobile system also extend traditional focus found system development process development project encompass whole development company well interorganizational linkage development company finally point research direction emerging review relevant field mobile system development,1989,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=198939,Jens Henrik Hosbond and Peter Axel Nielsen,"Book Series IFIP International Federation for Information Processing, Volume 185/2005, Book Designing Ubiquitous Information Environments: Socio-Technical Issues and Challenges, Pages 215-232, SpringerLink Date Thursday, February 09, 2006",1,1
quality productivity economic benefit software reuse review industrial study,systematic software reuse proposed increase productivity software quality lead economic benefit report successful software reuse program industry published however little effort organize evidence systematically appraise review aim ass effect software reuse industrial context journal major conference searched find observational study experiment conducted industry returning eleven paper observational type systematic software reuse significantly related lower problem defect fault error density five study decreased effort spent correcting problem three study review found evidence significant gain apparent productivity three study significant benefit software reuse reported single study result inconsistent evidence industry sparse combining result done vote counting researcher pay attention using comparable metric performing longitudinal study explaining result impact industry industry evaluating reuse cot os component integrating reuse activity software process better data collection evaluating return investment major challenge,2007,http://dl.acm.org/citation.cfm?id=1290919&CFID=932217338&CFTOKEN=19657119,"Parastoo Mohagheghi, Reidar Conradi","Empirical Software Engineering,   Volume 12 Issue 5, October 2007, Empirical Software Engineering,   Volume 12 Issue 5, October 2007, Publisher: Kluwer Academic Publishers",1,1
reflection year software process simulation modeling,software process simulation modeling spsm become increasingly active research area since introduction late particularly last ten year related research community number publication growing objective research provide insight evolution spsm research last year systematic literature review proposed two subsequent stage achieve goal paper present preliminary result first stage review exclusively focusing core set publication source relevant publication analyzed order find answer research question including purpose scope spsm application domain predominant research issue analysis following conclusion could drawn category classifying software process simulation model suggested author landmark publication adjusted refined better capture diversity published model research improving efficiency spsm gaining importance hybrid process simulation model attracted interest possibility realistically capture complex real world software process,2014,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6984090,"He Zhang, Barbara Kitchenham and Dietmar Pfahl","Book Series Lecture Notes in Computer Science, Volume 5007/2008, Book Making Globally Distributed Software Development a Success Story, Pages 345-356, SpringerLink Date Tuesday, May 06, 2008",1,1
software process improvement small medium software enterprise systematic review,small medium enterprise important cog gear world economy software industry country composed industrial scheme made mainly small medium software enterprise smes strengthen type organization efficient software engineering practice needed practice adapted size type business last two decade software engineering community expressed special interest software process improvement spi effort increase software product quality well productivity software development however widespread tendency make point stressing success spi possible large company article systematic review published case study spi effort carried smes presented objective analyse existing approach towards spi focus smes report case study carried industry objective discussing significant issue related area knowledge provide date state art innovative research activity thought planned,2011,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6083172,"Francisco J. Pino, F?lix Garc?a, Mario Piattini","Software Quality Control,   Volume 16 Issue 2, June 2008, Publisher: Kluwer Academic Publishers, pp 237 - 261",1,1
software project economics roadmap,objective paper consider research progress field software project economics view identifying important challenge promising research direction argue important sub discipline since underpin cost benefit analysis used justify resourcing otherwise software project accomplish conducted bibliometric analysis peer reviewed research article identify major area activity result indicate primary goal accurate cost prediction system remains largely unachieved however number new promising avenue research including combine result primary study integration multiple prediction applying greater emphasis upon human aspect prediction task conclude field likely remain challenging due people centric nature software engineering since essence design task nevertheless need good economic model grow rather diminish software becomes increasingly ubiquitous,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4221628,Martin Shepperd,"FOSE '07: 2007 Future of Software Engineering , May 2007",1,1
status empirical research software engineering,provide assessment status empirical software research analyzing refereed article appeared journal empirical software engineering first issue january june journal publishes empirical software research exclusively journal main finding dominant empirical method experiment case study method correlational study meta analysis survey descriptive approach ex post facto study occur infrequently long term study missing quarter experiment replication professional used somewhat frequently student subject dominant topic studied measurement metric tool method framework metric research dominated correlational case study without experiment important topic underrepresented absent example programming language model driven development formal method others narrow focus empirically researched topic contrast broad scope software research,2013,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6618469,Andreas H?fer and Walter F. Tichy,"Book Series Lecture Notes in Computer Science, Volume 4336/2007, Book Empirical Software Engineering Issues. Critical Assessment and Future Directions, Pages 10-19, SpringerLink Date Monday, June 11, 2007",1,1
systematic review organizational motivation adopting cmm based spi,background software process improvement spi intended improve software engineering effective used improve spi uptake understand organization adopt spi cmm based spi approach widely known studied objective investigated organization adopt cmm based spi approach motivation relate organization size method performed systematic review examining reason reported forty primary study result reason usually related product quality project performance le commonly process organization reported customer reason infrequently employee reason rarely could show reason related size conclusion despite origin helping address customer related issue usaf cmm based spi mostly adopted help organization improve project performance product quality issue reinforces view goal spi improve process per se instead provide business benefit,2008,http://dl.acm.org/citation.cfm?id=1365278&CFID=932221225&CFTOKEN=61415952,M. Staples and M. Niazi.,"Information and Software Technology 50 (7-8):605-620, 2008.",1,1
systematic review systematic review effect size software engineering experiment,effect size quantifies effect experimental treatment conclusion drawn hypothesis testing result might erroneous effect size judged addition statistical significance paper report systematic review controlled experiment published major software engineering journal conference proceeding decade review investigates practice effect size reporting summarizes standardized effect size detected experiment discus result give advice improvement standardized unstandardized effect size reported experiment interpretation effect size term practical importance discussed beyond reference standard convention standardized effect size computed reviewed experiment equal observation psychology study slightly larger standard convention behavioral science,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4052585,"Vigdis By Kampenes, Tore Dyb?, Jo E. Hannay, Dag I. K. Sj?berg","Information and Software Technology,   Volume 49 Issue 11-12, November 2007, Publisher: Butterworth-Heinemann pp. 1073 - 1086",1,1
tailoring introduction rational unified process,rup comprehensive software development process framework gained lot interest industry one major challenge taking rup use tailor specific need introduce development organization study present review systematic assembly existing study tailoring introduction rup systematic search study report topic found research anecdotal focus effect rup number study address tailoring introduction found tailoring rup considerable challenge must closely related existing best practice see tendency turning large complete process framework towards smaller light weight process may impose smoother transition process model process use,2009,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5362562,"Geir Kjetil Hanssen, Finn Olav Bj?rnson and Hans Westerheim","Book Series Lecture Notes in Computer Science, Publisher Springer Berlin / Heidelberg, Volume 4764/2007, Book Software Process Improvement, Pages 7-18, SpringerLink Date Thursday, September 13, 2007",1,1
technique developing accessible web application survey towards process classification,web become one important communication medium since spread world order enable everyone access medium web accessibility become emerging topic many technique evolved support development accessible web content paper present survey technique web accessibility proposes classification process iso iec standard survey carried applying systematic review principle literature review result include analysis obtained synthesis study selected initial set although survey result indicate growth research technique design evaluation web application also indicate several development activity poorly addressed scientific research effort,2007,http://dl.acm.org/citation.cfm?id=1297177&CFID=932218671&CFTOKEN=40893134,"Andre Pimenta Freire, Rudinei Goularte, Renata Pontin de Mattos Fortes","SIGDOC '07: Proceedings of the 25th annual ACM international conference on Design of communication , October 2007  , Publisher: ACM",1,1
role deliberate artificial design element software engineering experiment,increased realism software engineering experiment often promoted important mean increasing generalizability industrial relevance context artificiality use constructed task place realistic task seen threat paper examine opposite view deliberately introduced artificial design element may increase knowledge gain enhance generalizability relevance first part paper identify evaluate argument example favor deliberately introducing artificiality software engineering experiment find good argument favor deliberately introducing artificial design element isolate basic mechanism establish existence phenomenon enable generalization particularly unfavorable favorable condition persistence phenomenon relate experiment theory second part paper summarize content analysis article report software engineering experiment published year period analysis reveals striving realism external validity little awareness various degree artificiality realism appropriate furthermore much focus realism seems based narrow understanding nature generalization conclude increased awareness deliberation purpose artificial realistic design element applied valuable better knowledge gain quality empirical software engineering experiment also conclude time spent study obvious threat validity due artificiality might better spent study investigate research question artificiality strength rather weakness however argument favor artificial design element used justify study badly designed research question low relevance,2008,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4453833,"By Jo Hannay , Magne J?rgensen","Found in: IEEE Transactions on Software Engineering 
Issue Date:March 2008 , pp. 242-259",1,1
type evidence produced empirical software engineer,paper report research published year inclusive journal empirical software engineering drawing taxonomy developed glass et al found research somewhat narrow topic half paper focusing measurement metric review inspection researcher almost interested formulating evaluating hypothesis testing laboratory experiment dominated evaluation research likely focus people extremely unlikely refer discipline discus finding context making empirical software engineering relevant practitioner,2005,http://dl.acm.org/citation.cfm?id=1083176&CFID=932225534&CFTOKEN=50437810,"Judith Segal, Antony Grinyer, Helen Sharp","REBSE '05: Proceedings of the 2005 workshop on Realising evidence-based software engineering, May 2005, Publisher: ACM, pp. 66-73",1,1
proof review experience applying mde industry,model driven engineering mde promoted solution handle complexity software development raising abstraction level automating labor intensive error prone task however effort made collecting evidence evaluate benefit limitation subject review searched several publication channel period june empirical study applying mde industry produced paper review finding include industry motivation investigating mde different domain applied case maturity third party tool environment still perceived unsatisfactory large scale industrial adoption found report improvement software quality productivity gain loss report mainly small scale study report advantage applying mde larger project however empirical study detailed data needed strengthen evidence conclude little evidence allow generalization result stage,2008,http://dl.acm.org/citation.cfm?id=1426373&CFID=932208349&CFTOKEN=54965093,Parastoo Mohagheghi and Vegard Dehlen,"Book Series Lecture Notes in Computer Science, Volume 5095/2008, Book Model Driven Architecture ? Foundations and Applications, Pages 432-443, SpringerLink Date Friday, June 06, 2008",1,1
cross versus within company cost estimation study systematic review,objective paper determine circumstance individual organization would able rely cross company based estimation model performed systematic review study compared prediction cross company model prediction within company model based analysis project data ten paper compared cross company within company estimation model however seven presented independent result seven three found cross company model significantly different within company model four found cross company model significantly worse within company model experimental procedure used study differed making impossible undertake formal meta analysis result main trend distinguishing study result study small within company data set project used leave one cross validation found within company model significantly different better cross company model result review inconclusive clear organization would ill served cross company model whereas others would benefit study needed must independent based different data base least different single company data set address specific hypothesis concerning condition would favor cross company within company model addition experimenter need standardize experimental procedure enable formal meta analysis recommendation made section,2007,http://ieeexplore.ieee.org/abstract/document/4160970/,"By Barbara A. Kitchenham , Emilia Mendes , Guilherme H. Travassos","Found in: IEEE Transactions on Software Engineering ,Issue Date:May 2007 
pp. 316-329",1,1
systematic review software development cost estimation study,paper aim provide basis improvement software estimation research systematic review previous work review identifies software cost estimation paper journal classifies paper according research topic estimation approach research approach study context data set web based library cost estimation paper provided ease identification relevant estimation research result review result combined knowledge provide support recommendation future software cost estimation research including increase breadth search relevant study search manually relevant paper within carefully selected set journal completeness essential conduct study estimation method commonly used software industry increase awareness property data set impact result evaluating estimation method,2007,http://ieeexplore.ieee.org/abstract/document/4027147/,"By Magne Jorgensen , Martin Shepperd","Found in: IEEE Transactions on Software Engineering ,Issue Date:January 2007 
pp. 33-53",1,1
survey controlled experiment software engineering,classical method identifying cause effect relationship conduct controlled experiment paper report upon present state controlled experiment software engineering conducted extent relevant information reported among scientific article published leading software engineering journal conference decade article percent reported controlled experiment individual team performed one software engineering task survey quantitatively characterizes topic experiment subject number subject student versus professional recruitment reward participation task type task duration type size application environment location development tool furthermore survey report internal external validity addressed extent experiment replicated gathered data reflects relevance software engineering experiment industrial practice scientific maturity software engineering research,2005,http://ieeexplore.ieee.org/abstract/document/1514443/,"By Dag I.K. Sjoberg , Jo E. Hannay , Ove Hansen , Vigdis By Kampenes , Amela Karahasanovic , Nils-Kristian Liborg , Anette C. Rekdal","Found in: IEEE Transactions on Software Engineering
Issue Date:September 2005 , pp. 733-753",1,1
survey software estimation norwegian industry,abstract provide overview estimation method software company apply estimate project method chosen accurate order improve estimation accuracy knowledge essential conducted depth survey information collected structured interview senior manager different company project manager different project analyzed information estimation approach effort estimation accuracy bias schedule estimation accuracy bias delivered functionality estimation related information result suggest example average effort overrun estimation performance changed much last year expert estimation dominating estimation method estimation accuracy much impacted use formal estimation model software manager tend believe estimation accuracy company better actually,2004,http://ieeexplore.ieee.org/abstract/document/1357904/,"By Kjetil Molokken-Ostvold , Magne Jorgensen , Sinan S. Tanilkan , Hans Gallis , Anette C. Lien , Siw E. Hove","Found in: 10th IEEE International Symposium on Software Metrics (METRICS'04) 
Issue Date:September 2004 , pp. 208-219",1,1
systematic review theory use software engineering experiment,empirically based theory generally perceived foundational science however many discipline nature role even necessity theory remain matter debate particularly young practical discipline software engineering article report systematic review explicit use theory comprehensive set article reporting experiment total article published major software engineering journal conference decade article use total theory various way explain cause effect relationship investigation majority use theory experimental design justify research question hypothesis use theory provide post hoc explanation result test modify theory third theory proposed author reviewed article interdisciplinary nature theory used greater research software engineering general found theory use awareness theoretical issue present theory driven research yet major issue empirical software engineering several article comment explicitly lack relevant theory call increased awareness potential benefit involving theory feasible support software engineering researcher wish use theory show reviewed article topic use theory purpose well detail theory characteristic,2007,http://ieeexplore.ieee.org/abstract/document/4052585/,"By Jo E. Hannay , Dag I.K. Sjoberg , Tore Dyba","Found in: IEEE Transactions on Software Engineering
Issue Date:February 2007 , pp. 87-107",1,1
systematic review web engineering research,abstract paper us systematic literature review mean investigating rigor claim arising web engineering research rigor measured using criterion combined software engineering research reviewed paper result shown would considered rigorous methodologically addition presenting result also provide suggestion improvement web engineering research based lesson learnt software engineering community,2005,http://ieeexplore.ieee.org/abstract/document/1541857/,By E. Mendes,"Found in: 2005 International Symposium on Empirical Software Engineering, 2005. 
Issue Date:November 2005 , pp. 10 pp.",1,1
two head better one effectiveness pair programming,pair programming collaborative approach make working pair rather individually primary work style code development pp radically different approach many developer used hard predict effect team switch pp project focus different thing article concentrate understanding general aspect related effectiveness specifically project duration effort quality unexpectedly meta analysis showed question whether two head better one precise enough meaningful given evidence best answer depends programmer expertise complexity system task solved two head better one achieving correctness highly complex programming task might also time gain simpler task additional study would useful example investigation clearly needed interaction complexity programmer experience affect appropriateness pp approach current understanding phenomenon rest chiefly single although large study understanding make pair work make le efficient take step provide beneficial work condition avoid detrimental condition avoid pairing altogether condition detrimental right cook right combination ingredient broth potential good indeed,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4375233,"By Tore Dyb? , Erik Arisholm , Dag I.K. Sj?berg , Jo E. Hannay , Forrest Shull","Found in: IEEE Software 
Issue Date:November 2007 , pp. 12-15",1,1
sqa program work cmm work meta analysis,many software development professional manager software development organization fully convinced profitability investment advancement sqa system result included article found lead general conclusion impact investment upgrading sqa system meta analysis based cmm level transition cmmlt analysis available publication seven common performance metric cmmlt analysis applicable combined analysis empirical data many source record meta analysis database calculated ratio nearly free studied organization characteristic cmm guideline sqa requirement similar claim result cmm program also applicable investment sqa system extensive database project variety information source leading meta analysis result proved investment cmm program similarly sqa system contribute software development performance,2005,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1421069,"By Daniel Galin , Moti Avrahami","Found in: IEEE International Conference on Software - Science, Technology & Engineering (SwSTE'05) 
Issue Date:February 2005 
pp. 95-100",1,1
cmm program investment beneficial analyzing past study,cmm expert strongly believe investment program promoting organization cmm maturity yield substantial organizational economic benefit particular argue cmm program implement software process improvement provide benefit,2006,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4012629,"By Daniel Galin , Motti Avrahami","Found in: IEEE Software 
Issue Date:November 2006 
pp. 81-87",1,1
capture recapture software inspection year research theory evaluation application,software inspection method detect fault early phase software life cycle order estimate number fault found capture recapture introduced software inspection estimate remaining fault inspection since several paper written area concerning basic theory evaluation model application method paper summarizes work made capture recapture software inspection year furthermore importantly contribution paper classified theory evaluation application order analyse performed research well highlight area research need work concluded basic theory investigated within biostatistics software engineering research performed evaluation majority ending recommendation mh jk model need application experience order support application inspection process presented decision point based capture recapture estimate,2004,http://www.sciencedirect.com/science/article/pii/S0164121203000906,"H. Petersson, T. Thelin, P. Runeson, and C. Wohlin.","Journal of Systems and Software 72 (2):249-264, 2004.",1,1
systematic review statistical power software engineering experiment,statistical power inherent part empirical study employ significance testing essential planning study interpretation study result validity study conclusion paper report quantitative assessment statistical power empirical software engineering research based paper controlled experiment total paper published nine major software engineering journal three conference proceeding decade result show statistical power software engineering experiment fall substantially accepted norm well level found related discipline information system research given study finding additional attention must directed adequacy sample size research design ensure acceptable level statistical power furthermore current reporting significance test enhanced also reporting effect size confidence interval,2007,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4052585,"T. Dyba, V. B. Kampenes, and D. I. K. Sjoberg.","Information and Software Technology 48 (8):745-755, 2006.",1,1
software effort estimation terminology tower babel,well documented software industry suffers frequent cost overrun contributing factor believe imprecise estimation terminology use lack clarity precision use estimation term reduces interpretability estimation accuracy result make communication estimate difficult lower learning possibility paper report structured review typical software effort estimation terminology software engineering textbook software estimation research paper review provides evidence term effort estimate frequently used without sufficient clarification meaning estimation accuracy often evaluated without ensuring estimated actual effort comparable guideline suggested reduce lack clarity precision terminology,2006,http://www.sciencedirect.com/science/article/pii/S0950584905000674,"S. Grimstad, M. Jorgensen, and K. Molokken-Ostvold.","Information and Software Technology 48 (4):302-310, 2006.",1,1
search experimentally know unit testing,gathering evidence discipline lengthy procedure requiring experimentation empirical confirmation transform information mere opinion undisputed fact software engineering relatively young field experimental se even younger undisputed fact far nevertheless ese relevance growing experimental result help practitioner make better decision aggregated result unit testing experiment aim identifying information experimental basis might help practitioner make decision experiment focus two important characteristic testing technique effectiveness efficiency experiment study quality test case set according different criterion,2006,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4012628,"By Natalia Juristo , Ana M. Moreno , Sira Vegas , Martin Solari","Found in: IEEE Software 
Issue Date:November 2006 
pp. 72-80",1,1
precise identification side effect free method java,knowing method side effect necessary variety software tool program understanding restructuring optimization verification present general approach identifying side effect free method java software technique parameterized class analysis designed work incomplete program present empirical result two instantiation approach based rapid type analysis point analysis experiment several component average investigated method identified free side effect also present precision evaluation show approach achieves almost perfect precision almost never miss method reality side effect result indicate precise identification side effect free method possible simple inexpensive analysis technique therefore easily incorporated software tool,2004,http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1357793,By Atanas Rountev,"Found in: 20th IEEE International Conference on Software Maintenance (ICSM'04) 
Issue Date:September 2004 
pp. 82-91",1,1
